标题	内容
苹果APP太差了，陌声不好用	（该条评论已经被删除）陌声客服服务态度很差，用户有问题，根本找不到客服，客服回复了也很敷衍，不给解决问题，而且苹果版APP能改进一下嘛！不好用，差评！！！
无奈	"提现几次都不行客服也像摆设搭讪发消息都不回复什么玩意啊
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，如果您有任何疑问，都可以联系在线客服处理。"
汰弱	"没有一个正常的，全是托
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
小白鼠	"我来给大家当小白鼠，花了35块钱摸索了一下，这个软件的大致是这样的，大部分都是假人，或者极丑的，稍微好看一点的聊天要钱5毛钱一句话，这个就厉害了，发一条信息5毛钱。就是找几个假人放几张好看的图片吸引男生去聊天，5毛钱一条信息，或者充值会员，靠着赚钱，小白鼠已经测试过了啊，大家不要上当了！建议苹果公司下架这类诈骗垃圾社交软件谢谢！请叫我小白鼠
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
充钱聊天	"（该条评论已经被删除）这个APP，做任务领金币，一条消息5金币，没有金币了充值，一条消息发出去也就是0.57毛钱，个人感觉会匹配机器人跟你聊天赚金币，土豪玩这个没有任何问题。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
真是流氓软件	"真是流氓软件！聊天还得充钱，您们这软件真流氓，再也没有比你们贵的软件了，金币用完，马上卸载
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
辣鸡	什么几把破东西，辣鸡的要死
苹果APP太差了，陌声不好用	（该条评论已经被删除）陌声客服服务态度很差，用户有问题，根本找不到客服，客服回复了也很敷衍，不给解决问题，而且苹果版APP能改进一下嘛！不好用，差评
陌声软件	"（该条评论已经被删除）又是付费聊天的软件，差
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
套路 一群机器人然后叫你充值	"机器人你充值
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
这是我见过最垃圾的交友平台，私聊发消息都要钱，想钱想疯了吧！	垃圾
垃圾	垃圾
辣鸡	"开会员都没用，信息竟然还是按算费，辣鸡软件。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
垃圾app	"什么鬼软件 干啥都要充钱
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
别上当，辣鸡软件	"垃圾软件，你特么推荐打招呼的都特么多大了自己没点逼数？还特么强制性消费
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
不好用	"聊天还充金币聊天。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
垃圾，发几条消息，就知道坑钱。最新消息	垃圾
垃圾软件	"垃圾软件，里边全是套路，花钱聊天，说是互相点关注，免费，没人会给你互点关注！想法骗你让你充钱消费金币！早晚倒闭
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
坑	"贼坑，都是骗礼物不行动，说得好听，没卵用都是为了金币才跟你聊天
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
收费太离谱	"发信息也要扣除对应金币，这软件乱收费，我要举报
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
都是拖	"里面的聊天的都是拖，不实际
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
垃圾软件	垃圾软件，不要下
软件太差劲了	特别特别差，发信息都要钱，比发短信贵几倍????????????????????
陌声	"太坑人了！什么都没说就被封号了，一点不靠谱的软件
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，如果您有任何疑问，都可以联系在线客服处理。"
破软件	破软件  真的是坑
充钱可以聊天	"聊天发送的每条信息都要充钱    你并且你聊天的对方很可能是人机用来骗你让你充钱的
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
差评	发消息还要金币，差评
垃圾聊天软件	真垃圾啊
这软件太坑了，骗子团队，垃圾服务	"看了诸多不满的评论，开发者就随便说几句话含糊其词本来出发点是好的，但是目的性太强。里面的人都是他们自己的人，都是以骗钱为目的的垃圾软件。比起那些游戏来说更是可恶。打着做好事的幌子大量敛财。你们就不怕报应吗？现在没有报应你们。迟早你们会遭报应。人在做天在看。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
约炮软件，小心被骗	（该条评论已经被删除）这个软件大部分的女的都是女扮男装，而且就是个约炮软件，这种软件得开发公司良心被狗吃了，国家有关部门该管管了，
要钱的	"大家别玩了  连发信息多要钱
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
签到坑人	"之前一直签到都是十几个至三十几个金币，后来突然改到两个金币，问客服理都不理，垃圾软件！
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
没消息	为什么什么信息都收不到
假，都是托儿	"说话都得花钱金币，女的都是托儿
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
扣费	孩子不小心点击充值了    可以发起退款吗
一款骗钱软件	"别为这种套路受伤害了，真实点自己去找！
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
性能	垃圾软件
很垃圾的软件	"不充值金币不能聊天，收到的信息也不知道是不是真人
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
尽然有如此厚颜无耻的软件	"这就是一个圈钱的软件，男性聊天一条信息5个金币，还TM好多机器人，30块钱350个金币，70条信息花你30块钱，各种套路，这种软件就不该存活在软件商城，脑袋被驴踢了才用这种软件，果断卸载
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
要冲钱，垃圾软件	"坑钱的软件
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
完全无客服，咨询问题已经咨询一周	完全没人回复，是穷的请不起客服吗？这样流失率极其高，完全无服务体验和意识，根本做不起来的
坑钱重复扣费一定不要充钱进去，会重复扣费的！别上当受骗	"坑钱重复扣费一定不要充钱进去，会重复扣费的！别上当受骗！
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，如果您有任何疑问，都可以联系在线客服处理。"
差评	垃圾的要死，聊天收费，不充钱聊不了两句话，
骗钱软件	"和别人聊天要冲钱才能聊，简直就是骗钱的软件
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
垃圾	垃圾
客服也没有  说什么官方qq也是假的！就这样找不到任何联系方式，想注销账号都没办法注销！骗子app	"客服也没有 说什么官方qq也是假的！就这样找不到任何联系方式，想注销账号都没办法注销！骗子app
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，如果您有任何疑问，都可以联系在线客服处理。"
哎	"说是免费的聊天还要买金币而且还挺贵不实惠
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
新鲜感还是存在的。	（该条评论已经被删除）作为国产游戏来说真的不错能看出制作团队很用心大家可以进入网址在great?℃ǒM的网站玩这游戏的上线满级版这个里可以查找到公益游戏版但是有个问题我们的主人公是条勇敢机智的小鱼在被大黑鱼发现以后应该会冷静迅速地躲开而不是懦弱地被吓的动弹不得每次不小心被发现以后小鱼行动就会变得特别迟缓点哪里都没有用就眼睁睁看着大黑鱼把小鱼撞死真的很心塞不喜欢这种坐以待毙的感觉真心希望能改进最后祝制作团队能给大家带来更多更好的游戏我们一定会支持这是国产的对于一个国产游戏是相当不错主角是一条鱼经过每一个关卡不懈努力在最后应该是净化心灵生命之源水首先游戏性并没有喷子说的那么差难道所有游戏都要像大作一样反复跳跃闪避虽然地图比较大对路痴伤害极大但也并非找不到路和鱼只不过需要多走几次罢了如果你只是看推荐而不是静心来玩这款游戏的话这里不适合你鱼是橘色象征热情、向上表现了鱼的心态要净化污水的决心这告诉我们人类去保护环境这也暗示人类生态环境不断恶化并且严重让我们知道是时候去保护我们赖以生存的家园地球我只是一名初中生我希望这些信息可以让更多人知道保护环境的重要性首先游戏是神作目前所有见到的这类游戏或多或少都是抄袭这部作品的它才是始祖 就没有英文完全不影响游戏的游玩完全可以去百度对照一下各个技能还有装备的详细说明玩半天就不用翻译了 关于游戏时间其实这个游戏通关之后才是真正的开始无尽模式才是这个游戏真正的精华所在通关并不能获得最高级别的装备只有在无尽模式下达到一定的层数才会有奖励 总之这是款让人又爱又恨的游戏爱就不多说了我只恨他这么多年居然只更新过一次加了几个英雄内容和装备如果持续更新这部传奇将会一直延续觉得非常的好玩 尤其喜欢故事类型的会有好奇欲望一点点刷下去每一个个人物都能知道多一点故事很棒棒啦 希望还能继续出类似的游戏如果游戏里有账号登录和大家发弹幕就好了可
支持一下！很喜欢	"（该条评论已经被删除）推荐感谢你陪伴我左右好家伙值得下载更幸运的是找到great1⒉℃o㎡玩无线资源版里面有很多游戏的魄结办,钻石仙玉这些在哪里都是无限量使用用完马上找NPC领永远用不完的圆宝实在太爽不论是剧情还是购物以及战斗方式我都很喜欢虚幻引擎可以应用的更好画质精美cao作流畅不可多得的好游戏一直在找不同寻常的游戏这一款就很不错虽然剧情很无脑但是总体还不错整体感觉很棒画质B真战斗刺激虽然剧情无脑的一B但是玩起来还是很好的英雄的技能属性希望描述清楚 很多英雄不知道用哪种属性装备最好这个首充是需要必冲的如果不充 会没一点游戏体验总之 希望游戏开发商多一点责任心把游戏元素内容多多丰富多出一些红五星英雄一代还有点剧情到这一代完全就是无脑刷战斗模式太单一了五个小时刷完感觉要吐了完全像是临时作品这种制作感觉对不起你们的大牌子扣一星希望能看到玩家们的心声这个游戏前几部我都玩过里面内容不够剧情少过于枯燥人物装备技能等级的系统跟剧情不成正比我一堆破装备技能没点几个就通关了希望能多加一些东西进去不要那么枯燥也可以降低升级装备技能成本或者丰富一下多人游戏模式可以查看多人游戏里的城堡之类的攻打别人的城堡这游戏三部我都玩过这部目前玩了五个小时了提点看法 技能希望可以有所选择现在都是固定的三个另外放技能有些不方便尤其是人物叠在一起的时候能否把技能图标都放在战斗界面中 天赋树还是挺不错的可以自己选择要先点哪个但费用会越来越高 但没有丝毫剧情有点枯燥只能一味的刷图要不是有情怀在我可能就玩不下去了一开始玩的时候我对这游戏充满了期待毕竟几年前的第一部特别经典但玩了几十分钟后这真的是个垃圾游戏内容单调就给一副小地图里面有几个关卡一直都是那几个内容重复度高穿了衣服也没有什么特效没变化一点成就感都没有一直重复的内容重复的任务重复的服装我实在对这个游戏充满了失望希"
非常不错且实用的软件	（该条评论已经被删除）游戏非常好玩去除原版的能量限制的设定让我可以更长时间进行游戏还好我找到了省前的地方great??.co㎡这里有马可以领版不用储值就能玩超爽作为一个游戏体验者这个游戏让我数次删除后又重复下载游戏很精彩矮人元素、建造元素、防守元素都很吸引人但是不得不说这款游戏更新速度太慢了无论是pc端还是pe端更新速度都是相当慢的希望能够再次更新增加更多可玩性是唯一一个我花钱买了所有版本的游戏 最搞笑的是换了苹果X之后刚开始几天居然买的版本没有了 考虑了几天准备再买一次 结果后来又莫名可以玩了 哈哈 一直保存在手机里 无聊的时候百玩不厌 偶尔还会熬夜玩 一直以为不会更新 这两天居然发现有万圣节元素 天上掉宝箱 送了好多帽子 天使恶魔女巫南瓜头骷髅面具什么的希望作者有时间能增加一下啊我到现在都还记得第一次打冰火岛的恶人的时候因为他们轻功会隐身好像描述是谁谁隐匿身型消失的无影无踪具体我忘了但是当时的感觉我还记得他发动下一次攻击时我被吓的头皮发麻生怕挡不住从那时候我就觉的这游戏特别有意思语言的描述比那些有画面的回合制要更有冲击力因为想象力总能把我带入第一人称视角有时候我甚至能感觉到到刀剑碰撞的力量其实玩这个游戏的基本上都是冲着怀旧的目的去的高度还原并且在原有的基础上降低了游戏难度（话说以前老版的潜能真的能叫人抓狂）但是个人觉得对一些新玩家来说还是有点不友好可能一开始不太清楚自己进游戏以后应该干啥其实网上稍微搜索一下你就很快就能学会了游戏还在优化中希望能够做的越来越好突然才发现这个游戏比多年前玩的时候成长快多了不花钱也是以前的潜能现在确实没有这么多时间去像以前一样做一下午的老婆婆任务这样的良心复刻一定要好评就是不知道什么时候能玩到2代这种暗黑系列的游戏真的是超级喜欢游戏地图还是有点少前期手机发热严重耗电特别快只能边冲边玩现在更新
刚下，好像蛮好用得，嘻嘻	（该条评论已经被删除）买苹果的重要原因就是商店的各种精品游戏不过我平常都会到网址great①② ℃θM玩满级无限元宝版登入就送神装免克金就痛快呀太好玩了希望系统给我出点好装备好宠物就上面能玩无限宝石版能够无限用金币属性太夸张了大家可以试试好玩这款完美世界非常不错无论是画质还是音质都特别不错刚开始看见朋友在玩我没事干也试着下载玩一下开始觉得没那么回事没一个小时就玩得入迷了整体来说都非常不错好评等的花都谢了几年前进入游戏行业是为了它一个玩到心底的游戏紧张的睡不着还有几个小时就可以回归了明天又可以拉着我的小老虎一起玩啦游戏本身我很喜欢画面感特别好很喜欢 但是我已经弃坑大半年回来发现聊天系统根本没有改变所谓可以发图片的升级弊大于利反而使得邪恶有了滋生的土壤我觉得一些不良言论以及不健康得图片越来越能散播了有的人发ok我没法阻止顶多点个举报然而在举报之前已经影响到了我的心情和游戏体验更重要的是我想要一个清静无污染的环境但我却没有权利选择我能不能看到这些消息我不想看到不良言论以及图片但是连个屏蔽的选项都没有尤其是逢魔之时玩家发的消息和图片都会被弹出来我是被迫观看的我会用尽所有努力来推荐网络环境的健康为了自己也为了他人高度自由的玩法以及丰富的游戏；元素打造了一个美轮美奂又内容精彩的仙侠世界在这里不仅可以激烈战斗还可以寻缘交友特别棒社交系统比我之前玩的蜀山仙剑要好得多创造属于自己的刺激冒险之旅体验精美绝伦的仙侠场景玩着感觉特别轻松愉快轻松交友功能丰富一款角色扮演的浪漫仙侠手游虽然说游戏占用的内存特别的小但是这款御剑仙侠手游当中的玩法还有情节的设计都是非常的完美的我们绝对可以给满分好评的一款修仙佳作全新的仙侠手游玩起来感觉水平确实是高层次的；制作恢弘大气精美的场景画面如梦似幻多元化的即时战斗酣畅淋漓丰富的装备神宠还有炫酷的特效技能给游戏增分不少
"力荐,力荐,无数个赞!"	（该条评论已经被删除）游戏的玩法和画风很好游戏体验不错还好我找到了省前的地方great⒓?om这里有马可以领版不用储值就能玩超爽游戏刚开始上手第二层都过不去一度怀疑自己智商玩几天后弃了一周后实在无聊又捡起来有了之前经验又从谜题入手先玩慢慢掌握了方法然后很快就通关了现在觉得很有趣很好玩目前谁能告诉我梦魇怎么解锁我通关了差不多十次简单和普通都没有完美结局能不能给点提示啊要非洲黑人老这么自己摸索心累啊但我的手机会经常闪退刚开始的几次闪退没怎么在意因为游戏很好玩我很入迷但后面的几次闪退是在我打败敌人准备换界面时出现的然后我立马再点进去怪还在但是我的血和士气都扣掉了我这样又得再打一遍但怪还是一样的难打画风简洁优美动画流畅音乐合适好听剧情设计很有创意脑洞十足有几关手残党表示玩的手心冒汗 唯一我觉得别扭的地方关于反战的主题有种强行正能量的感觉不知道创作团队是不是受时空幻境的启发但是每一章只在结束末尾加上几句意欲深刻的话结尾上升主题总让我觉得有些突兀感觉如果把想表达的东西糅合进游戏剧情中会更好 当然单纯从可玩性角度来说非常完美关卡设计都很棒我是本着支持国产游戏的的态度下载了这个游戏而且看了很多评论说这款游戏怎么怎么好很多优点伸直媲美纪念碑谷啦 但是玩过之后体验很不好说实话这个画面实在是称不上精美我非常愿意花钱支持国产但是这个质量真的是堪忧也给想要下载这款游戏的朋友提个醒吧想法创意是好的但是不够精致还有待改善感觉作品套作痕迹还是很重而且有些地方存在经常出现翻转后卡住的现象希望继续改进难得的是关卡的设计思路很赞可玩性也很高国产游戏做到这个份上是个良好的开端给个五星支持一下至于值不值得付费反正总比花钱玩那些脑残手机网游好的多觉得自己作为一个资深玩烧脑游戏者 这个游戏给人感觉画风很简洁很亮 最后面的几关更加是让人眼前一亮的神色
垃圾软件	垃圾软件
这个平台都是托	"大家一定要注意，一定要小心。这个平台里面的女的都是托，都是假的，骗钱的。还好我只充了20块聊天。信息基本都是秒回，全是骗钱的。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
非常垃圾	"（该条评论已经被删除）非常非常垃圾及其垃圾的一个软件 聊天还要花钱才可以
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
垃圾的没爹！任务不可以做！必须花钱买金币！	"垃圾玩意！你没爹吗开发者？任务不可以做！必须花钱买金币！
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
不实用不充值都不能聊天	公司一心想着用户赚钱，你好好学习下陌陌人家的 模式太着急了吧，这样公司能坚持多久呢，最终谁才是赢家呢
辣鸡软件	"真辣鸡，发几条信息就，强制收费，根本用不了
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
垃圾中的垃圾，倒闭不？	"垃圾中的垃圾，倒闭不？
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，如果您有任何疑问，都可以联系在线客服处理。"
都是机器人 骗钱的	"都是机器人 骗钱的 大家不要下载
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
聊天	"为什么你们平台聊天还要收费用！别人平台聊天根本不要什么快币费用！要是开通什么VIP收费可以理解！希望贵公司官方改改政策
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
收费	"聊天不应收费。  不合理
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
垃圾软件	"有钓鱼机器人找你聊天，然后就扣你的金币，没金币了就不能聊，想聊就充钱……
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台所有用户均是真人注册和使用，同时语音和真人认证都需要通过系统和人工审核，确保100%真人，如果您有什么疑问，可以联系在线客服处理。"
不好	"为什么只能用手机号登，QQ号登录不了，以前是可以用QQ登录的，现在好好的就不行了，差差
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，如果您之前有注册账号，可以联系在线客服转号处理，账号是能正常使用的。"
我觉得这是一款非常棒的软件像素啊画面啊质量都很好	（该条评论已经被删除）这是我见过最好用的陌生人社交软件，  里面的女生长得好看，交友过程很顺利，认识不少美女，不像别的平台的女生爱搭不理，我已经成功的在里面找到我现在可爱活泼的女朋友，特地来这里感谢陌声，不仅让我认识了一帮志同道合的朋友，给了我多少乐趣，我几乎每天都在想着它，上次我在玩到满V级钻石无限版颇爽得很省钱很佛心还有超多无限版的游戏能挑，如果没打死就亏大了而且就算开着十倍威力可能打十几发也打不死一条海马所以机遇性太高里面可以结识到很多跟自己有共同话题的朋友有时候就是一一个字眼就知道想要表达的是什么大概这个就是共同爱好的共鸣童年的记忆另外精灵新世代灵的游戏最大的乐趣并不只是在战斗而是收集捕捉各种各样可爱的精灵完成口袋妖怪图鉴而且玩起来真的很爽一下午也不会腻不吹不黑一开始接触这个游戏时候觉得这游戏很低幼化后面上到三千杯后发现这个游戏的策略性很强在算费方面很考究现在五千但本人表示不想玩了卡组比较喜欢皮卡石头类的卡组平均十级在冲天梯的时候一度被虐不是说本人技术没对面好而是匹配的是一些满级卡组即使对面玩得比你菜也能稳定赚费狂暴满级精锐无脑冲十级的弟弟只能靠边变紫水相当难受给一些只想在平时休闲的时候玩玩游戏的人没有接下去打的人没一点游戏体验不像王者荣耀你充钱只能给个皮肤加成的那点伤害或者血量为此我还特意掉分去虐人这点是挺过分的不过也没办法谁让跟我同分段的让我没游戏体验总而言之如果可以改的话希望能优化一下匹配机制很有趣味性就拿我的职业生涯来说吧少见的好游戏融合了其他游戏的精华元素每天上班下班闲暇时间点开随手一玩非常舒服适合我这种碎片时间玩家简直就让我像回到了过去一样但作为一个法师我的角
垃圾app	"每条消息多需要付费，这就是黑心??app希望下架。
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
玩不起的软件	"只能充钱说话，不会有人给你点关注的！信我的，卸载了吧！
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
坑人要充钱的，开发这个平台保佑他一家人死完	谁是有老就死谁
太辣鸡	"垃圾软件，目测活不了多久。这年代聊个天还得花钱了？
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
支持一下！很喜欢	"（该条评论已经被删除）推荐感谢你陪伴我左右好家伙值得下载更幸运的是找到great1⒉℃o㎡玩无线资源版里面有很多游戏的魄结办,钻石仙玉这些在哪里都是无限量使用用完马上找NPC领永远用不完的圆宝实在太爽不论是剧情还是购物以及战斗方式我都很喜欢虚幻引擎可以应用的更好画质精美cao作流畅不可多得的好游戏一直在找不同寻常的游戏这一款就很不错虽然剧情很无脑但是总体还不错整体感觉很棒画质B真战斗刺激虽然剧情无脑的一B但是玩起来还是很好的英雄的技能属性希望描述清楚 很多英雄不知道用哪种属性装备最好这个首充是需要必冲的如果不充 会没一点游戏体验总之 希望游戏开发商多一点责任心把游戏元素内容多多丰富多出一些红五星英雄一代还有点剧情到这一代完全就是无脑刷战斗模式太单一了五个小时刷完感觉要吐了完全像是临时作品这种制作感觉对不起你们的大牌子扣一星希望能看到玩家们的心声这个游戏前几部我都玩过里面内容不够剧情少过于枯燥人物装备技能等级的系统跟剧情不成正比我一堆破装备技能没点几个就通关了希望能多加一些东西进去不要那么枯燥也可以降低升级装备技能成本或者丰富一下多人游戏模式可以查看多人游戏里的城堡之类的攻打别人的城堡这游戏三部我都玩过这部目前玩了五个小时了提点看法 技能希望可以有所选择现在都是固定的三个另外放技能有些不方便尤其是人物叠在一起的时候能否把技能图标都放在战斗界面中 天赋树还是挺不错的可以自己选择要先点哪个但费用会越来越高 但没有丝毫剧情有点枯燥只能一味的刷图要不是有情怀在我可能就玩不下去了一开始玩的时候我对这游戏充满了期待毕竟几年前的第一部特别经典但玩了几十分钟后这真的是个垃圾游戏内容单调就给一副小地图里面有几个关卡一直都是那几个内容重复度高穿了衣服也没有什么特效没变化一点成就感都没有一直重复的内容重复的任务重复的服装我实在对这个游戏充满了失望希"
套路货	"里面全是套路，男的聊天得花钱买币，女的免费还有钱收，女孩子在里面拼命的找话题和男的聊就为了挣钱的！
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
贪财	"动不动要钱，没人玩这玩意
 ----------------------------------------------------------------------------------------- 
 开发者回复：您好，平台有很多功能均是免费的，例如家族、广场，您也可以根据自身需要选择是否充值，同时平台每天都会有赠送金币以及任务奖励。"
